step,fitness,genome
0,0.0,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
0,0.0,[1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0]
0,0.0,[0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
0,0.0,[1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0]
0,0.0,[0 1 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0]
0,0.0,[0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0]
0,0.0,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
0,0.0,[1 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0]
0,0.0,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
0,0.0,[1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1]
step,fitness,genome
1,0.6461,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
1,62.5461,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
1,22.8061,[1 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
1,4.8461,[0 1 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
1,353.3061,[1 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0]
1,346.8461,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1]
1,7.5061,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
1,525.9661,[1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
1,281.4061,[0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
1,8.3661,[1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1]
step,fitness,genome
2,147.1063,[0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1]
2,214.6063,[1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1]
2,200.2063,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
2,4.6463,[0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
2,8.8463,[0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
2,149.9863,[1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
2,16.7263,[1 0 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1]
2,14.7663,[1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1]
2,6.0263,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
2,12.1463,[0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 1]
step,fitness,genome
3,4.9841,[1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1]
3,135.8641,[0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1]
3,1.8041,[1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1]
3,4.3441,[1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1]
3,3.1041,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
3,7.9241,[1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1]
3,9.0841,[1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1]
3,14.2441,[0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
3,212.9241,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
3,12.4641,[0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1]
step,fitness,genome
4,1.3966,[0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
4,1.8366,[0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
4,2.6766,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
4,0.8366,[0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1]
4,0.2766,[0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1]
4,9.8366,[0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
4,138.3366,[0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0]
4,4.9166,[0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1]
4,215.3166,[0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1]
4,5.5766,[0 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1 0]
